交易日期,交易月份,上月结存,当月存取合计,当月盈亏,当月总权利金,当月手续费,当月结存,浮动盈亏,客户权益,实有货币资金,非货币充抵金额,货币充抵金额,冻结资金,保证金占用,可用资金,风险度,追加保证金,入金,出金,方式,摘要
2017-05-23,2017-05,677780.93,-50000.0,0.0,0.0,0.0,627780.93,,627780.93,627780.93,0.0,0.0,0.0,0.0,627780.93,0.00%,0.0,,50000.0,出入金,银期转账自动凭证(出金)50000
2017-05-24,2017-05,,,,,,,,,,,,,,,,,2000.0,,出入金,银期转账自动凭证(入金)2000
2017-05-25,2017-05,,,,,,,,,,,,,,,,,,3000.0,出入金,银期转账自动凭证(出金)30000
,2017-04,677780.93,0.0,0.0,0.0,0.0,677780.93,,677780.93,677780.93,0.0,0.0,0.0,0.0,677780.93,0.00%,0.0,,,,
,2017-03,677780.93,0.0,0.0,0.0,0.0,677780.93,,677780.93,677780.93,0.0,0.0,,0.0,677780.93,0.00%,0.0,,,,
,2017-06,627780.93,0.0,0.0,0.0,0.0,627780.93,,627780.93,627780.93,0.0,0.0,0.0,0.0,627780.93,0.00%,0.0,,,,
,2017-02,677780.93,0.0,0.0,0.0,0.0,677780.93,,677780.93,677780.93,0.0,0.0,,0.0,677780.93,0.00%,0.0,,,,
