交易月份,上月结存,当月存取合计,当月盈亏,当月总权利金,当月手续费,当月结存,浮动盈亏,客户权益,实有货币资金,非货币充抵金额,货币充抵金额,冻结资金,保证金占用,可用资金,风险度,追加保证金
2017-02,677780.93,0,0,0,0,677780.93,,677780.93,677780.93,0,0,,0,677780.93,0.00%,0
2017-03,677780.93,0,0,0,0,677780.93,,677780.93,677780.93,0,0,,0,677780.93,0.00%,0
2017-04,677780.93,0,0,0,0,677780.93,,677780.93,677780.93,0,0,0.0,0,677780.93,0.00%,0
2017-05,677780.93,-50000,0,0,0,627780.93,,627780.93,627780.93,0,0,0.0,0,627780.93,0.00%,0
2017-06,627780.93,0,0,0,0,627780.93,,627780.93,627780.93,0,0,0.0,0,627780.93,0.00%,0
